Timestamp,"Air temperature (gund, ℃)","Relative humidity (gund, %)","Wind direction (gund, °)","Wind speed (gund, m/s)","Pressure (gund, mbar)","Solar radiation (gund, W/m^2)"
6/27/22 15:50,21.82,99.5,239,0,1008.6,42
6/27/22 15:55,21.84,99.5,215,1,1008.4,67
6/27/22 16:00,21.96,99.4,213,0.5,1008.3,77
6/27/22 16:05,21.94,99.2,230,1,1008.4,92
6/27/22 16:10,21.87,99,223,1,1008.4,63
6/27/22 16:15,21.99,99,234,1.5,1008.3,107
6/27/22 16:20,22.11,98.9,230,1,1008.4,116
6/27/22 16:25,22.27,98.8,237,0,1008.3,96
6/27/22 16:30,22.2,98.6,222,0.5,1008.3,52
6/27/22 16:35,22.03,98.7,229,0.5,1008.3,59
6/27/22 16:40,22.08,98.8,230,0.5,1008.3,67
6/27/22 16:45,22.06,98.6,244,1.5,1008.2,74
6/27/22 16:50,22.27,98.6,220,0.5,1008.3,77
6/27/22 16:55,22.13,98.8,216,0.5,1008.2,73
6/27/22 17:00,22.06,99,230,1,1008.3,68
6/27/22 17:05,22.06,99,222,0.5,1008.5,52
6/27/22 17:10,22.01,99,232,0.5,1008.3,49
6/27/22 17:15,21.87,99.1,213,0.5,1008.3,43
6/27/22 17:20,21.75,99.2,226,1.5,1008.1,44
6/27/22 17:25,21.7,99.5,226,1.5,1008.4,37
6/27/22 17:30,21.68,99.5,219,1,1008.3,33
6/27/22 17:35,21.68,99.6,241,1,1008.2,29
6/27/22 17:40,21.68,99.7,229,0.5,1008.3,27
6/27/22 17:45,21.7,99.7,218,1,1008.3,24
6/27/22 17:50,21.58,99.8,223,2,1008.4,23
6/27/22 17:55,21.63,99.8,226,1,1008.4,23
6/27/22 18:00,21.63,99.9,218,1,1008.4,22
6/27/22 18:05,21.63,100,234,1,1008.4,19
6/27/22 18:10,21.63,99.9,223,0.5,1008.5,23
6/27/22 18:15,21.65,99.9,222,1,1008.5,27
6/27/22 18:20,21.7,99.9,206,0,1008.5,24
6/27/22 18:25,21.46,99.9,234,0.5,1008.4,32
6/27/22 18:30,21.27,99.9,230,1,1008.5,34
6/27/22 18:35,21.08,100,227,1.5,1008.5,29
6/27/22 18:40,21.2,100,237,0.5,1008.6,28
6/27/22 18:45,21.29,100,223,0.5,1008.6,29
6/27/22 18:50,21.37,100,223,1,1008.4,28
6/27/22 18:55,21.39,100,212,1,1008.4,14
6/27/22 19:00,21.27,100,218,1.5,1008.4,13
6/27/22 19:05,21.32,100,220,0.5,1008.5,13
6/27/22 19:10,21.29,100,233,1.5,1008.6,11
6/27/22 19:15,21.2,99.9,233,2,1008.8,13
6/27/22 19:20,21.1,99.9,237,2,1008.8,14
6/27/22 19:25,20.94,100,229,1.5,1008.8,13
6/27/22 19:30,20.79,100,236,2,1009,8
6/27/22 19:35,20.7,100,229,1.5,1008.8,7
6/27/22 19:40,20.56,100,220,1,1008.8,9
6/27/22 19:45,20.53,100,225,2,1008.8,8
6/27/22 19:50,20.58,100,213,1,1008.9,7
6/27/22 19:55,20.53,100,218,1,1009.1,7
6/27/22 20:00,20.46,100,239,1,1009.1,4
6/27/22 20:05,20.48,100,239,1,1009.1,9
6/27/22 20:10,20.46,100,227,1,1009,18
6/27/22 20:15,20.46,100,227,0.5,1009,21
6/27/22 20:20,20.44,100,226,1,1009.2,14
6/27/22 20:25,20.41,100,225,1,1009.2,8
6/27/22 20:30,20.41,100,240,1,1009.3,2
6/27/22 20:35,20.36,100,257,0.5,1009.4,1
6/27/22 20:40,20.32,100,246,1,1009.4,1
6/27/22 20:45,20.32,100,250,1.5,1009.4,1
6/27/22 20:50,20.27,100,248,1,1009.5,1
6/27/22 20:55,20.25,100,263,0.5,1009.4,1
6/27/22 21:00,20.22,100,251,1,1009.6,1
6/27/22 21:05,20.22,100,258,1,1009.5,1
6/27/22 21:10,20.15,100,261,0.5,1009.7,1
6/27/22 21:15,20.17,100,277,0.5,1009.8,1
6/27/22 21:20,20.1,100,302,0.5,1009.9,1
6/27/22 21:25,20.15,100,303,1,1009.9,1
6/27/22 21:30,20.13,100,314,0.5,1009.9,1
6/27/22 21:35,20.1,100,303,1.5,1009.9,1
6/27/22 21:40,20.01,100,306,1,1010,1
6/27/22 21:45,19.91,100,295,0.5,1010.1,1
6/27/22 21:50,19.82,99.7,285,0.5,1010.1,1
6/27/22 21:55,19.79,99.5,264,0.5,1010,1
6/27/22 22:00,19.72,99.1,293,1,1010.1,1
6/27/22 22:05,19.67,98.5,298,1,1009.9,1
6/27/22 22:10,19.82,98.1,306,1,1010.1,1
6/27/22 22:15,19.77,97.9,309,1,1010.2,1
6/27/22 22:20,19.77,97.6,305,1,1010.3,1
6/27/22 22:25,19.67,97.5,286,0.5,1010.3,1
6/27/22 22:30,19.53,97.6,295,0,1010.3,1
6/27/22 22:35,19.63,97.4,309,0.5,1010.5,1
6/27/22 22:40,19.75,96.9,309,1,1010.5,1
6/27/22 22:45,19.77,96.5,309,1,1010.4,1
6/27/22 22:50,19.65,96.3,313,1,1010.8,1
6/27/22 22:55,19.53,96.2,305,0.5,1010.9,1
6/27/22 23:00,19.46,96.2,299,0,1010.9,1
6/27/22 23:05,19.2,96.7,279,0,1010.9,1
6/27/22 23:10,19.13,96.7,292,0,1010.8,1
6/27/22 23:15,19.08,96.7,299,0,1011,1
6/27/22 23:20,18.98,96.6,288,0,1010.9,1
6/27/22 23:25,18.94,96.6,314,0.5,1011,1
6/27/22 23:30,18.68,97.2,307,0,1011,1
